ID,Dir,DNA1,DNA2,DNA3,RNA1,RNA2,RNA3
EKSUUT0092,CW,1044,1118,1730,3606,1825,2353
EKSUUT0098,CCW,933,1016,1462,397,235,318
EKSUUT0098,CW,885,906,1372,1068,628,690
EKSUUT0106,CCW,778,756,1212,515,266,478
EKSUUT0106,CW,860,890,1344,1335,653,946
EKSUUT0108,CCW,1096,1150,1840,50,12,29
EKSUUT0108,CW,53,29,47,10,4,15
EKSUUT0114,CCW,553,659,893,446,188,257
EKSUUT0114,CW,521,585,835,287,176,213
EKSUUT0126,CCW,720,743,1139,192,112,165
EKSUUT0126,CW,573,557,895,90,32,55
EKSUUT0133,CCW,365,372,507,144,91,107
EKSUUT0133,CW,505,516,710,202,103,154
EKSUUT0138,CCW,752,880,1242,151,72,116
EKSUUT0138,CW,591,633,869,431,254,318
EKSUUT0142,CCW,885,1017,1478,475,198,294
EKSUUT0142,CW,577,661,957,734,458,619
EKSUUT0156,CCW,769,760,1268,319,184,224
EKSUUT0156,CW,952,1042,1476,3561,1806,2717
EKUUAE0001,CCW,1083,1243,1916,3101,1605,2179
EKUUAE0001,CW,469,524,771,1381,796,1019
EKUUAE0004,CCW,635,716,1089,265,114,162
EKUUAE0004,CW,698,716,1102,2071,906,1414
EKUUAE0005,CCW,863,853,1276,911,469,691
EKUUAE0005,CW,896,916,1257,2813,1228,1781
EKUUAE0010,CCW,1069,1182,1718,1139,670,956
EKUUAE0010,CW,1071,1112,1740,2945,1505,2406
EKUUAE0013,CCW,640,673,1084,645,392,433
EKUUAE0013,CW,656,670,1024,1124,609,781
EKUUAE0016,CCW,722,793,1116,300,167,171
EKUUAE0016,CW,918,1085,1419,1220,599,778
EKUUAE0017,CCW,1009,1134,1807,2860,1396,1805
EKUUAE0017,CW,968,1038,1524,4766,2296,3367
EKUUAE0021,CCW,751,830,1320,687,391,521
EKUUAE0021,CW,930,943,1445,1121,566,757
EKUUAE0022,CCW,10,9,4,1,1,2
EKUUAE0022,CW,26,14,22,8,3,4
EKUUAE0024,CCW,316,339,499,662,366,535
EKUUAE0024,CW,951,967,1418,1700,1055,1278
EKUUAE0030,CCW,598,632,952,337,180,231
EKUUAE0030,CW,689,777,1181,1007,457,678
EKUUAE0032,CCW,1049,1152,1682,2022,1065,1315
EKUUAE0032,CW,990,1153,1787,3312,1629,2350
EKUUAE0034,CCW,213,232,331,688,364,508
EKUUAE0034,CW,536,549,810,2861,1288,2008
EKUUAE0037,CCW,767,807,1204,453,323,620
EKUUAE0037,CW,856,1022,1394,7979,4370,7064
EKUUAE0038,CCW,434,697,904,402,282,317
EKUUAE0038,CW,561,600,858,659,371,501
EKUUAE0039,CCW,1022,1117,1732,668,362,532
EKUUAE0039,CW,716,880,1286,1925,1020,1296
EKUUAE0041,CCW,573,653,945,85,31,79
EKUUAE0041,CW,715,744,1036,354,256,353
EKUUAE0043,CCW,1436,1523,2279,283,205,224
EKUUAE0043,CW,947,1080,1577,1385,779,938
EKUUAE0046,CCW,707,815,1209,595,317,381
EKUUAE0046,CW,610,664,984,1081,564,726
EKUUAE0047,CCW,817,827,1340,1483,832,1346
EKUUAE0047,CW,860,929,1440,3609,2087,2884
EKUUAE0051,CCW,674,743,1065,761,426,574
EKUUAE0051,CW,722,799,1166,1404,858,1104
EKUUAE0055,CCW,1402,1502,2298,338,191,341
EKUUAE0055,CW,990,1058,1626,1121,525,866
EKUUAE0063,CCW,882,1097,1582,659,389,518
