"logFC.CW","ID","p.CW","logFC.CCW","p.CCW","logFC","call","Size"
-0.044243670379076,"KUUAT0099",5.79652080791872e-07,0.826826496127879,0.0147232336640042,0.456058263251098,"Inactive",212
0.867523238375939,"KUUAT0011",0.0155455843608156,-0.126738283576555,1.20621378919702e-07,0.454401102391239,"Inactive",219
-0.228734607963604,"ORF71347",0.00782741524549245,0.912433047992718,0.334826845089565,0.451857387402148,"Inactive",1260
0.290130350636177,"ORF70812",0.282488699634856,0.596748765418377,0.889291764150295,0.451570039344172,"Inactive",1059
-0.412338282587161,"EKUUAT0019",6.55887065217428e-06,0.983705425642807,0.00466060846292742,0.448342018110915,"Inactive",483
0.370980758097119,"EKUUUT0032",0.10971151677903,0.51964512985107,0.34013874391393,0.44722701133857,"Inactive",478
0.508206791623019,"EKNGUT0131",0.389328072806519,0.382483003830275,0.0497352083948381,0.446713990924926,"Inactive",478
0.911803506274302,"TRE4_0199A",0.0233872754648875,-0.244849185741998,1.22871168531462e-05,0.446415030618997,"Inactive",678
-0.54408356734748,"ORF71165",9.36988478202649e-05,1.02672903456466,0.110246784662125,0.445317040582963,"Inactive",1173
0.562687881238914,"ORF56714",0.706275533008845,0.311899366852817,0.0696253272672626,0.442736202549152,"Inactive",570
0.404704026480612,"KNGAT0093",0.0525219396055152,0.478073615898588,0.164611281744631,0.441855180719616,"Inactive",331
0.323795740139483,"ORF53104",0.165140213306225,0.54274651792259,0.684247200256014,0.437420785149612,"Inactive",948
-0.17528529379247,"KUUAE0035",9.05388579182561e-07,0.865383927707308,0.00747993745686397,0.436917003422872,"Inactive",273
0.967401203745463,"EKUUAE0043",0.00315972731097667,-0.414993995757044,8.90046026902936e-09,0.435808764090712,"Inactive",483
-0.030320498311219,"ORF56547",0.0209882841335321,0.787390163556714,0.549793103432761,0.43570973157477,"Inactive",975
-0.75706889591716,"ORF71941",1.47538108071506e-05,1.07933785425324,0.00242082391529774,0.435502340720989,"Inactive",1071
-7.28352236368116,"EKNGAE0114",9.80120635413132e-14,1.43088480209488,1.87374346363014e-06,0.434315323554353,"Inactive",539
1.08555600253743,"KSUUT0016",2.76912973948909e-05,-0.801580997945052,1.19722472855117e-10,0.430774108031234,"Inactive",280
0.075115588073165,"TRE4_0036A",0.0193660400293029,0.712698732413711,0.650678751270022,0.428845811241261,"Inactive",1119
0.435858160864835,"KNGUT0044",0.0280860671525024,0.410469618482256,0.018268141775449,0.423219737388131,"Inactive",167
0.214174110973466,"KUUAT0138",0.000191355885746772,0.602992577438463,0.823090633119169,0.421642623969762,"Inactive",230
0.451062919233089,"KNGAT0156",0.0911350679781682,0.391356569023267,0.0115334510169957,0.421518592653044,"Inactive",183
